BoothNo,PaguthiEnum,Total,Male,Female,Third,to20,to30,to40,to50,to60,Above60,MaleP,FemaleP,ThirdP,to20P,to30P,to40P,to50P,to60P,Above60P,AssemblyNo,OndriumNo,PanchayatNo,PaguthiType
1,TM,709,353,356,0,38,158,150,168,95,100,49.8,50.2,0.0,5.4,22.3,21.2,23.7,13.4,14.1,211,4,7,O
2,TM,555,281,274,0,12,118,115,104,82,124,50.6,49.4,0.0,2.2,21.3,20.7,18.7,14.8,22.3,211,4,7,O
3,TM,994,501,493,0,11,190,253,206,159,175,50.4,49.6,0.0,1.1,19.1,25.5,20.7,16.0,17.6,211,4,28,O
4,TM,915,450,464,0,23,162,193,215,152,170,49.2,50.7,0.0,2.5,17.7,21.1,23.5,16.6,18.6,211,4,10,O
5,TM,1178,588,589,0,38,236,238,306,167,193,49.9,50.0,0.0,3.2,20.0,20.2,26.0,14.2,16.4,211,4,10,O
6,TM,700,338,361,0,11,142,151,143,102,151,48.3,51.6,0.0,1.6,20.3,21.6,20.4,14.6,21.6,211,4,9,O
7,TM,834,402,432,0,14,173,206,180,117,144,48.2,51.8,0.0,1.7,20.7,24.7,21.6,14.0,17.3,211,4,9,O
8,TM,1021,503,518,0,26,208,240,207,128,212,49.3,50.7,0.0,2.5,20.4,23.5,20.3,12.5,20.8,211,4,19,O
9,TM,1443,712,731,0,36,303,327,288,207,282,49.3,50.7,0.0,2.5,21.0,22.7,20.0,14.3,19.5,211,4,19,O
10,TM,1119,581,538,0,19,211,280,228,161,220,51.9,48.1,0.0,1.7,18.9,25.0,20.4,14.4,19.7,211,4,23,O
11,TM,1140,568,571,0,77,251,216,232,167,197,49.8,50.1,0.0,6.8,22.0,18.9,20.4,14.6,17.3,211,4,25,O
12,TM,1198,606,592,0,53,242,242,268,163,230,50.6,49.4,0.0,4.4,20.2,20.2,22.4,13.6,19.2,211,4,31,O
13,TM,989,498,489,0,32,197,265,186,127,182,50.4,49.4,0.0,3.2,19.9,26.8,18.8,12.8,18.4,211,4,30,O
14,TM,448,227,221,0,6,86,84,99,84,89,50.7,49.3,0.0,1.3,19.2,18.8,22.1,18.8,19.9,211,4,30,O
15,TM,817,409,408,0,32,225,158,171,129,102,50.1,49.9,0.0,3.9,27.5,19.3,20.9,15.8,12.5,211,4,20,O
16,TM,1048,522,525,0,30,257,170,233,172,186,49.8,50.1,0.0,2.9,24.5,16.2,22.2,16.4,17.7,211,4,20,O
17,TM,1234,605,628,0,53,313,286,264,162,156,49.0,50.9,0.0,4.3,25.4,23.2,21.4,13.1,12.6,211,4,3,O
18,TM,727,357,370,0,37,189,147,161,91,102,49.1,50.9,0.0,5.1,26.0,20.2,22.1,12.5,14.0,211,4,3,O
19,TM,743,383,360,0,13,137,180,152,129,132,51.5,48.5,0.0,1.7,18.4,24.2,20.5,17.4,17.8,211,4,29,O
20,TM,1027,495,532,0,36,206,277,232,148,128,48.2,51.8,0.0,3.5,20.1,27.0,22.6,14.4,12.5,211,4,3,O
21,TM,990,497,493,0,70,298,221,186,122,93,50.2,49.8,0.0,7.1,30.1,22.3,18.8,12.3,9.4,211,4,3,O
22,TM,859,401,458,0,14,151,171,224,149,150,46.7,53.3,0.0,1.6,17.6,19.9,26.1,17.3,17.5,211,4,3,O
23,TM,546,257,289,0,18,131,138,119,79,61,47.1,52.9,0.0,3.3,24.0,25.3,21.8,14.5,11.2,211,4,3,O
24,TM,713,366,347,0,23,157,184,140,88,121,51.3,48.7,0.0,3.2,22.0,25.8,19.6,12.3,17.0,211,4,4,O
25,TM,901,458,442,0,28,244,229,168,142,90,50.8,49.1,0.0,3.1,27.1,25.4,18.6,15.8,10.0,211,4,4,O
26,TM,458,229,229,0,13,107,120,111,65,42,50.0,50.0,0.0,2.8,23.4,26.2,24.2,14.2,9.2,211,4,4,O
27,TM,1092,530,562,0,24,244,252,243,166,163,48.5,51.5,0.0,2.2,22.3,23.1,22.3,15.2,14.9,211,4,4,O
28,TM,976,477,499,0,37,195,282,210,130,122,48.9,51.1,0.0,3.8,20.0,28.9,21.5,13.3,12.5,211,4,4,O
29,TM,768,367,401,0,48,183,183,166,102,86,47.8,52.2,0.0,6.2,23.8,23.8,21.6,13.3,11.2,211,4,4,O
30,TM,550,269,281,0,13,149,152,111,78,47,48.9,51.1,0.0,2.4,27.1,27.6,20.2,14.2,8.5,211,4,4,O
31,KEE,701,360,341,0,28,166,157,140,107,103,51.4,48.6,0.0,4.0,23.7,22.4,20.0,15.3,14.7,211,9999,21,N
32,KEE,1230,630,600,0,23,264,299,280,185,179,51.2,48.8,0.0,1.9,21.5,24.3,22.8,15.0,14.6,211,9999,21,N
33,KEE,903,450,453,0,21,207,225,220,136,94,49.8,50.2,0.0,2.3,22.9,24.9,24.4,15.1,10.4,211,9999,21,N
34,KEE,982,508,473,0,30,203,229,228,174,118,51.7,48.2,0.0,3.1,20.7,23.3,23.2,17.7,12.0,211,9999,21,N
35,KEE,594,281,313,0,17,113,158,137,91,78,47.3,52.7,0.0,2.9,19.0,26.6,23.1,15.3,13.1,211,9999,21,N
36,KEE,1070,521,549,0,26,243,226,226,175,174,48.7,51.3,0.0,2.4,22.7,21.1,21.1,16.4,16.3,211,9999,21,N
37,KEE,943,478,465,0,17,165,246,206,146,163,50.7,49.3,0.0,1.8,17.5,26.1,21.8,15.5,17.3,211,9999,21,N
38,KEE,845,397,448,0,27,188,168,198,133,131,47.0,53.0,0.0,3.2,22.2,19.9,23.4,15.7,15.5,211,9999,21,N
39,KEE,1367,684,681,0,60,285,330,289,201,202,50.0,49.8,0.0,4.4,20.8,24.1,21.1,14.7,14.8,211,9999,21,N
40,KEE,854,420,434,0,18,168,188,206,144,130,49.2,50.8,0.0,2.1,19.7,22.0,24.1,16.9,15.2,211,9999,21,N
41,KEE,799,408,391,0,15,141,182,213,116,132,51.1,48.9,0.0,1.9,17.6,22.8,26.7,14.5,16.5,211,9999,21,N
42,KEE,813,381,432,0,1,107,181,203,164,157,46.9,53.1,0.0,0.1,13.2,22.3,25.0,20.2,19.3,211,9999,21,N
43,KEE,479,252,227,0,15,85,94,108,87,90,52.6,47.4,0.0,3.1,17.7,19.6,22.5,18.2,18.8,211,9999,21,N
44,KEE,984,462,522,0,28,257,187,187,177,148,47.0,53.0,0.0,2.8,26.1,19.0,19.0,18.0,15.0,211,9999,21,N
45,KEE,1225,630,595,0,28,236,272,317,188,184,51.4,48.6,0.0,2.3,19.3,22.2,25.9,15.3,15.0,211,9999,21,N
46,KEE,930,468,462,0,15,175,216,234,150,140,50.3,49.7,0.0,1.6,18.8,23.2,25.2,16.1,15.1,211,9999,21,N
47,KEE,919,451,468,0,21,170,206,231,137,154,49.1,50.9,0.0,2.3,18.5,22.4,25.1,14.9,16.8,211,9999,21,N
48,KEE,837,382,454,0,13,183,166,201,149,125,45.6,54.2,0.0,1.6,21.9,19.8,24.0,17.8,14.9,211,9999,21,N
49,KEE,644,308,336,0,28,130,139,147,126,74,47.8,52.2,0.0,4.3,20.2,21.6,22.8,19.6,11.5,211,9999,21,N
50,KEE,996,504,492,0,26,217,236,246,126,145,50.6,49.4,0.0,2.6,21.8,23.7,24.7,12.7,14.6,211,9999,21,N
51,KEE,1352,671,681,0,25,301,319,340,200,167,49.6,50.4,0.0,1.8,22.3,23.6,25.1,14.8,12.4,211,9999,21,N
52,KEE,852,385,467,0,27,245,209,160,130,81,45.2,54.8,0.0,3.2,28.8,24.5,18.8,15.3,9.5,211,9999,21,N
53,KEE,802,401,401,0,17,167,191,199,129,99,50.0,50.0,0.0,2.1,20.8,23.8,24.8,16.1,12.3,211,9999,21,N
54,KEE,764,371,393,0,18,134,194,146,149,123,48.6,51.4,0.0,2.4,17.5,25.4,19.1,19.5,16.1,211,9999,21,N
55,KEE,1365,721,642,0,41,309,298,335,204,178,52.8,47.0,0.0,3.0,22.6,21.8,24.5,14.9,13.0,211,9999,21,N
56,KEE,784,382,402,0,16,125,224,193,114,112,48.7,51.3,0.0,2.0,15.9,28.6,24.6,14.5,14.3,211,9999,21,N
57,KEE,1172,574,596,0,24,229,304,272,202,141,49.0,50.9,0.0,2.0,19.5,25.9,23.2,17.2,12.0,211,9999,21,N
58,KEE,378,189,188,0,2,67,92,86,75,56,50.0,49.7,0.0,0.5,17.7,24.3,22.8,19.8,14.8,211,9999,21,N
59,KEE,964,514,450,0,25,173,225,247,149,145,53.3,46.7,0.0,2.6,17.9,23.3,25.6,15.5,15.0,211,9999,21,N
60,KEE,537,263,274,0,2,60,122,153,97,103,49.0,51.0,0.0,0.4,11.2,22.7,28.5,18.1,19.2,211,9999,21,N
61,KEE,909,440,469,0,28,154,207,195,163,162,48.4,51.6,0.0,3.1,16.9,22.8,21.5,17.9,17.8,211,9999,21,N
62,KEE,1415,736,678,0,57,312,292,297,239,218,52.0,47.9,0.0,4.0,22.0,20.6,21.0,16.9,15.4,211,9999,21,N
63,KEE,1452,683,768,0,69,385,333,329,191,145,47.0,52.9,0.0,4.8,26.5,22.9,22.7,13.2,10.0,211,9999,21,N
64,KEE,863,412,451,0,13,132,244,217,139,118,47.7,52.3,0.0,1.5,15.3,28.3,25.1,16.1,13.7,211,9999,21,N
65,TK,1115,563,551,0,14,240,282,256,171,152,50.5,49.4,0.0,1.3,21.5,25.3,23.0,15.3,13.6,211,4,2,O
66,TK,899,436,463,0,18,167,204,214,132,164,48.5,51.5,0.0,2.0,18.6,22.7,23.8,14.7,18.2,211,4,2,O
