AssemblyNo,AssemblyName,Category,Electors,DistrictId
1, Gummidipoondi,,260912,
2, Ponneri(SC),SC,250403,
3, Tiruttani,,262980,
4, Thiruvallur,,300891,
5, Poonamallee(SC),SC,602472,
6, Avadi,,351470,
7, Maduravoyal,,306296,
8, Ambattur,,406839,
9, Madavaram,,381359,
10, Thiruvottiyur,,274818,
11, Dr,,257558,
12, Perambur,,371109,
13, Kolathur,,254307,
14, Villivakkam,,211135,
15, Thiru-Vi-Ka-Nagar(SC),SC,315718,
16, Egmore(SC),SC,218831,
17, Royapuram,,239472,
18, Harbour,,296893,
19, Chepauk-Thiruvallikeni,,398613,
20, Thousand Lights,,402205,
21, Anna Nagar,,219621,
22, Virugampakkam,,257291,
23, Saidapet,,229868,
24, Thiyagarayanagar,,247501,
25, Mylapore,,246835,
26, Velachery,,249715,
27, Shozhinganallur,,359345,
28, Alandur,,231928,
29, Sriperumbudur(SC),SC,205533,
30, Pallavaram,,263119,
31, Tambaram,,223458,
32, Chengalpattu,,212306,
33, Thiruporur,,223488,
34, Cheyyur(SC),SC,224938,
35, Madurantakam(SC),SC,218671,
36, Uthiramerur,,392299,
37, Kancheepuram,,284010,
38, Arakkonam(SC),SC,228893,
39, Sholingur,,248873,
40, Katpadi,,228145,
41, Ranipet,,302410,
42, Arcot,,229749,
43, Vellore,,213136,
44, Anaikattu,,226746,
45, Kilvaithinankuppam(SC),SC,252311,
46, Gudiyattam(SC),SC,243367,
47, Vaniyambadi,,225545,
48, Ambur,,250015,
49, Jolarpet,,255195,
50, Tirupattur,,233605,
51, Uthangarai(SC),SC,219301,
52, Bargur,,227936,
53, Krishnagiri,,256327,
54, Veppanahalli,,243084,
55, Hosur,,222453,
56, Thalli,,251396,
57, Palacode,,211372,
58, Pennagaram,,221864,
59, Dharmapuri,,221269,
60, Pappireddippatti,,247327,
61, Harur(SC),SC,218619,
62, Chengam(SC),SC,239087,
63, Tiruvannamalai,,274436,
64, Kilpennathur,,244427,
65, Kalasapakkam,,250770,
66, Polur,,264140,
67, Arani,,218854,
68, Cheyyar,,234136,
69, Vandavasi(SC),SC,260157,
70, Gingee,,265892,
71, Mailam,,263189,
72, Tindivanam(SC),SC,261304,
73, Vanur(SC),SC,256847,
74, Villupuram,,271212,
75, Vikravandi,,265999,
76, Tirukkoyilur,,263233,
77, Ulundurpettai,,254558,
78, Rishivandiyam,,290522,
79, Sankarapuram,,259843,
80, Kallakurichi(SC),SC,250657,
81, Gangavalli(SC),SC,214976,
82, Attur(SC),SC,239268,
83, Yercaud(ST),,221806,
84, Omalur,,229911,
85, Mettur,,242615,
86, Edappadi,,208633,
87, Sankari,,216720,
88, Salem (West),,231009,
89, Salem (North),,212746,
90, Salem (South),,191494,
91, Veerapandi,,256208,
92, Rasipuram(SC),SC,222002,
93, Senthamangalam(ST),,238070,
94, Namakkal,,233793,
95, Paramathi-Velur,,212885,
96, Tiruchengodu,,228069,
97, Kumarapalayam,,192283,
98, Erode (East),,207641,
99, Erode (West),,242690,
100, Modakkurichi,,239778,
101, Dharapuram (SC)(SC),SC,188171,
102, Kangayam,,202898,
103, Perundurai,,180136,
104, Bhavani,,188075,
105, Anthiyur,,279110,
106, Gobichettipalayam,,230619,
107, Bhavanisagar(SC),SC,249571,
108, Udhagamandalam,,329853,
109, Gudalur(SC),SC,247665,
110, Coonoor,,331995,
111, Mettuppalayam,,281890,
