Rank,ACNo,CandidateName,PartyAbbreviation,VotesPolled,PercVotesPolled
1,1,VIJAYAKUMAR  K S,ADMK,89332,41.68
2,1,SEKAR C H,DMK,65937,30.76
3,1,SELVARAJ M,PMK,43055,20.09
4,1,GEETHA K,DMDK,6585,3.07
5,1,BHASKARAN M,BJP,2092,0.98
6,1,None of the Above,NOTA,1484,0.69
7,1,MURALI KRISHNA M (A) SAMARAN,BSP,1282,0.6
8,1,SURESHKUMAR S,ntk,1250,0.58
9,1,MURUGAN M,IND,875,0.41
10,1,KANDAVEL  R,YSP,645,0.3
11,1,KARUNAKARAN A,IND,554,0.26
12,1,ARULVEL SELVAN C,IND,550,0.26
13,1,PANDIYAN A,IND,231,0.11
14,1,GANAPATHY R,IND,164,0.08
15,1,SARAVANAN T,IND,163,0.08
16,1,KANTHARAJ V C,GokMK,149,0.07
1,2,BALARAMAN P,ADMK,95979,48.56
2,2,PARIMALAM K DOCTOR,DMK,76643,38.78
3,2,PANDIAN A,PMK,9586,4.85
4,2,SENTHIL KUMAR V,VCK,5566,2.82
5,2,None of the Above,NOTA,2284,1.16
6,2,GANESAN K,BJP,2067,1.05
7,2,VINOTH BABU S,ntk,1620,0.82
8,2,RAJA S,BSP,1152,0.58
9,2,KOTTEESWARAN K,YSP,696,0.35
10,2,RUKUMANGADAN L,IND,640,0.32
11,2,DILLI BABU V,IND,536,0.27
12,2,SUDHAKARAN H,IND,383,0.19
13,2,ELAYARAJA R,IND,213,0.11
14,2,SRINIVASAN E,IND,181,0.09
15,2,SATHISH RAJA M,IND,102,0.05
1,3,NARASIMHAN  P M,ADMK,93045,41.84
2,3,CHIDAMBARAM A G,INC,69904,31.43
3,3,VAITHILINGAM A,PMK,29596,13.31
4,3,KRISHNAMURTHY D,DMDK,15648,7.04
5,3,CHAKRAVARTHY. M,BJP,5525,2.48
6,3,None of the Above,NOTA,2076,0.93
7,3,JAIBASKARAN S,BSP,1445,0.65
8,3,PRABU S,ntk,1077,0.48
9,3,RAJESHKUMAR V,IND,875,0.39
10,3,KRISHNAMOORTHY R,IND,748,0.34
11,3,RAJAGOPAL N,IND,723,0.33
12,3,BABU K,IND,643,0.29
13,3,PRATHEEP M,IND,359,0.16
14,3,VAITHIYALINGAM K,IND,346,0.16
15,3,NARASIMAN P,IND,247,0.11
16,3,THUKKARAM N,IND,152,0.07
1,4,RAAJENDRAN V G,DMK,80473,39.02
2,4,BASKARAN A,ADMK,75335,36.53
3,4,BALAYOGI V,PMK,31935,15.48
4,4,BALASUBRAMANI A,VCK,7006,3.4
5,4,PREM SEKAR M,BSP,2171,1.05
6,4,SRINIVASAN K,BJP,1826,0.89
7,4,SENTHIL KUMAR K,ntk,1451,0.7
8,4,None of the Above,NOTA,1418,0.69
9,4,BASKAR A,IND,796,0.39
10,4,SHANKAR K,VBMP,703,0.34
11,4,BALA KRISHNAN N,IND,572,0.28
12,4,RAJEEV B,IND,418,0.2
13,4,ANANDANAYAGI A,LJP,417,0.2
14,4,MURUGAN S,IND,415,0.2
15,4,SRINIVASAN V,IND,289,0.14
16,4,BASKAR M,IND,202,0.1
17,4,SATHISH B,VTIP,172,0.08
18,4,SIVANANTHAM R,IND,149,0.07
19,4,ANBURAJ P,IND,138,0.07
20,4,RAJENDIRAN D,IND,128,0.06
21,4,PANNEERSELVAM T N,IND,125,0.06
22,4,RADHAKRISHNAN D,IND,105,0.05
1,5,ELUMALAI T A,ADMK,103952,43.32
2,5,PARANTHAMEN I,DMK,92189,38.41
3,5,PARTHASARATHY C,PMK,15827,6.59
4,5,KANDAN D,MDMK,15051,6.27
5,5,AMARNATH A,BJP,3456,1.44
6,5,None of the Above,NOTA,3265,1.36
7,5,PONNARASU A,ntk,2562,1.07
8,5,VIJAYABALAJI V,BSP,2066,0.86
9,5,RAMAMOORTHY M,IND,391,0.16
10,5,PRATHAP R,SHS,351,0.15
11,5,NAGARAJ J,IND,312,0.13
12,5,TAMILSELVAN B,IND,177,0.07
13,5,ANANTH C,IND,151,0.06
14,5,KANDHASAMY B,IND,121,0.05
15,5,SANKARALINGAM J,IND,116,0.05
1,6,PANDIA RAJAN K,ADMK,108064,39.92
2,6,NASAR S M,DMK,106669,39.4
3,6,ANTHRIDOSS R,MDMK,22848,8.44
4,6,ANANDAKRISHNAN N,PMK,12428,4.59
5,6,LOGANATHAN J,BJP,7232,2.67
6,6,None of the Above,NOTA,4994,1.84
7,6,NALLATHAMBI S,ntk,4301,1.59
8,6,CHARLES S,BSP,1477,0.55
9,6,NAZAR S M A,IND,452,0.17
10,6,DINESH KUMAR P,IND,402,0.15
11,6,PANDIARAJAN G,IND,386,0.14
12,6,DHARANI K,IND,193,0.07
13,6,SELVANAYAGAM D,IND,188,0.07
14,6,ANTHARAIYAN,IND,173,0.06
15,6,DURGA PRASAD G,IND,148,0.05
16,6,PONNUSAMY R,VBMP,138,0.05
17,6,KARTHIKEYAN V P,IND,136,0.05
18,6,JANOVA J,IND,115,0.04
19,6,KALIAMMAL RAJENDRAN,IND,110,0.04
20,6,SATHYA D,IND,103,0.04
21,6,RAMACHANDRAN J,IND,89,0.03
22,6,ROWOTH PASARI,SAP,86,0.03
1,7,BENJAMIN P,ADMK,99739,40.12
2,7,RAJESH R,INC,91337,36.74
3,7,BEEMRAO G,CPM,19612,7.89
4,7,SRINIVASAN N V,PMK,17328,6.97
5,7,None of the Above,NOTA,6655,2.68
6,7,VASU M,ntk,6181,2.49
7,7,ANANDAPRIYA R,IJK,4582,1.84
8,7,MOHAMED ABBAS S,BSP,807,0.32
9,7,DHANASEKAR A,YSP,549,0.22
10,7,GANAPATHY SURESH,IND,503,0.2
11,7,RAJESH C,IND,430,0.17
12,7,SRIRANGARAYAN G,KMDK,274,0.11
13,7,SRINIVASAN K V,IND,269,0.11
14,7,RAVI C V,IND,173,0.07
15,7,ARUN KUMAR R,IND,158,0.06
1,8,ALEXANDER  V,ADMK,94375,41.1
2,8,AASSAN MAULAANA,INC,76877,33.48
3,8,SEKAR K N,PMK,16635,7.24
4,8,CONSTANDINE RAVINDRAN J,DMDK,16631,7.24
5,8,DEVARAJAN  C,BJP,9563,4.16
6,8,None of the Above,NOTA,5603,2.44
7,8,ANBUTHENNARASAN  R,ntk,5044,2.2
8,8,SIMRAN KALATI,YSP,553,0.24
9,8,ABUBAKKAR M,NCP,479,0.21
10,8,PRAKASH  C,BSP,456,0.2
11,8,DEVARAJAN G,IND,418,0.18
12,8,PALANIVEL K,CPI(ML)(L),403,0.18
13,8,CHINNADURAI   M,IND,385,0.17
14,8,SHIVAKUMAR    S,IND,339,0.15
15,8,NARMADHA NANDHAKUMAR,IND,267,0.12
16,8,PRAKASH R,IND,234,0.1
17,8,VISWANATHAN R,IND,166,0.07
18,8,MANOHARAN  D,IND,128,0.06
19,8,BALAJI   G,IND,119,0.05
20,8,GANESAN N,IND,117,0.05
21,8,KANAKARAJ  K,IND,116,0.05
22,8,RAMESH B,IND,115,0.05
23,8,RANGANATHAN  K,VTK,112,0.05
24,8,RAMADASS   A S,IND,109,0.05
25,8,DHANRAJ P,IND,106,0.05
26,8,ARUMUGAM  S,IND,100,0.04
27,8,BALACHANDAR  M,PPIS,99,0.04
