PanchayatId,AssemblyId,BlockId,Name,Population,Male,Female,SC,Scmale,ScFemale,ST,Stmale,StFemale
1,210,1,Alagankulam,8009,3936,4073,205,94,111,0,0,0
2,211,1,Attangarai,2549,1289,1260,54,28,26,0,0,0
3,211,1,Enmanamkondan,7184,3625,3559,348,178,170,1,0,1
4,211,1,Irumeni,2568,1336,1232,32,21,11,0,0,0
5,210,1,Karan,2320,1173,1147,0,0,0,2,1,1
6,211,1,Keelanagachi,3678,1853,1825,26,13,13,0,0,0
7,211,1,Koravalli,829,359,470,0,0,0,0,0,0
8,211,1,Kumbaram,2114,1082,1032,0,0,0,0,0,0
9,211,1,Kusavankudi,1762,871,891,758,365,393,0,0,0
10,211,1,Manankudi,1512,752,760,58,28,30,0,0,0
11,211,1,Marakayarpattinam,1180,605,575,73,38,35,6,3,3
12,211,1,Nochiyurani,931,471,460,0,0,0,0,0,0
13,211,1,Pamban,17712,9012,8700,118,63,55,0,0,0
14,210,1,Panaikulam,7464,3549,3915,303,143,160,3,1,2
15,210,1,Pattinam Kattan,17601,8984,8617,1395,723,672,4,2,2
16,211,1,Perungulam,2957,1402,1555,25,11,14,0,0,0
17,211,1,Pirappanvalasai,1838,912,926,0,0,0,0,0,0
18,211,1,Pudumadam,8760,4454,4306,85,47,38,0,0,0
19,210,1,Puduvalasai,3491,1805,1686,4,2,2,0,0,0
20,211,1,Rettaiyurani,3399,1777,1622,7,4,3,0,0,0
21,211,1,Sambadaiyarkulam,1449,730,719,1,1,0,0,0,0
22,211,1,Sattakkonvalasai,2623,1295,1328,51,26,25,0,0,0
23,211,1,Tamaraikulam,1681,830,851,192,96,96,0,0,0
24,210,1,Terbhogi,2718,1339,1379,141,62,79,0,0,0
25,211,1,Thangachimadam,20107,10151,9956,385,160,225,3,1,2
26,211,1,Valantaravai,8445,4230,4215,1363,676,687,0,0,0
27,211,1,Vallarioodai,1100,558,542,16,8,8,0,0,0
28,211,1,Vedalai,6371,3270,3101,10,6,4,15,4,11
1,210,2,Achchundanvayal,2945,1476,1469,1301,633,668,0,0,0
2,210,2,Athyuthu,2717,1390,1327,219,110,109,0,0,0
3,210,2,Chitoor,1660,871,789,1202,630,572,0,0,0
4,210,2,Chittrakkottai,8574,4100,4474,900,444,456,0,0,0
5,210,2,Devipattinam,11599,5897,5702,1506,773,733,9,4,5
6,210,2,Ilamanoor,1196,611,585,450,235,215,0,0,0
7,210,2,Kalanikudi,1091,518,573,441,207,234,0,0,0
8,210,2,Karendal,1313,675,638,438,220,218,0,0,0
9,210,2,Karukudi,843,438,405,141,73,68,0,0,0
10,210,2,Kavanur,2064,1019,1045,741,369,372,0,0,0
11,210,2,Madavanur,1695,872,823,553,285,268,0,0,0
12,210,2,Medakottan,2323,1184,1139,2,2,0,0,0,0
13,210,2,Naranamangalam,1764,895,869,505,249,256,0,0,0
14,210,2,Pandamangalam,918,466,452,229,113,116,0,0,0
15,210,2,Paravoor,4699,2384,2315,1917,978,939,33,15,18
16,210,2,Peruvayal,1410,699,711,1155,564,591,0,0,0
17,210,2,Pullangudi,1519,792,727,706,378,328,0,0,0
18,210,2,Puthendal,2199,1094,1105,835,427,408,0,0,0
19,210,2,Rajasuriamadai,5200,2682,2518,985,511,474,0,0,0
20,210,2,Sakkarakottai,15355,7632,7723,2859,1321,1538,12,5,7
21,210,2,Surankottai,5873,3003,2870,2633,1330,1303,133,68,65
22,210,2,Therkuthalavai,4698,2407,2291,971,485,486,0,0,0
23,210,2,Thiruvolhiyakalugoorani,1614,811,803,271,136,135,0,0,0
24,210,2,Toruvalur,2616,1304,1312,1616,795,821,0,0,0
25,210,2,Vennathur,2826,1435,1391,469,229,240,0,0,0
1,210,3,A.Manakudi,1604,762,842,328,163,165,0,0,0
2,210,3,Alagarthevankottai,1854,921,933,484,233,251,0,0,0
3,210,3,Anandur,2773,1375,1398,429,215,214,20,7,13
4,210,3,Arunuthimangalam,2265,1163,1102,438,229,209,0,0,0
5,210,3,Ayangudi,2277,1146,1131,423,208,215,0,0,0
6,210,3,Chitturuvadi,1952,973,979,433,213,220,0,0,0
7,210,3,Govindamangalam,1367,685,682,353,180,173,0,0,0
8,210,3,Gudalur,1407,752,655,166,94,72,0,0,0
9,210,3,Janaveli,2485,1228,1257,431,206,225,0,0,0
10,210,3,Kadalur,3911,1838,2073,2443,1140,1303,0,0,0
11,210,3,Kallikudi,1261,611,650,302,150,152,0,0,0
12,210,3,Karkathakudi,2249,1113,1136,294,148,146,0,0,0
13,210,3,Karungudi,2446,1200,1246,553,269,284,0,0,0
14,210,3,Kavanakottai,1397,693,704,118,59,59,0,0,0
15,210,3,Kavanoor,2185,1078,1107,301,158,143,0,0,0
16,210,3,Kothidal Kalakudi,714,354,360,285,136,149,0,0,0
17,210,3,Kottagudi,1673,826,847,425,211,214,0,0,0
18,210,3,Melapanaiyur,975,490,485,369,181,188,0,0,0
19,210,3,Odaikkal,911,461,450,162,85,77,0,0,0
20,210,3,Paranur,2878,1405,1473,858,429,429,5,2,3
21,210,3,Pitchanakurichi,1080,526,554,520,255,265,0,0,0
22,210,3,Pullamadai,3634,1820,1814,263,126,137,2,1,1
23,210,3,Radhanur,2402,1247,1155,334,165,169,0,0,0
24,210,3,Sattanur,1612,796,816,125,57,68,0,0,0
25,210,3,Sengudi,735,377,358,47,19,28,0,0,0
26,210,3,Sethidal,1799,919,880,162,90,72,0,0,0
27,210,3,Sevaipattai,1450,742,708,312,148,164,0,0,0
28,210,3,Sholandur,1730,864,866,907,462,445,0,0,0
29,210,3,Sirunagudi,832,420,412,111,55,56,0,0,0
30,210,3,Thirutheravalai,1412,684,728,345,178,167,0,0,0
31,210,3,Thumbadakkakottai,2601,1300,1301,645,316,329,0,0,0
32,210,3,Tiruppalaikkudi,8824,4142,4682,3647,1776,1871,1,0,1
33,210,3,Uranagudi,1078,528,550,425,215,210,0,0,0
34,210,3,Vadakalur,1037,528,509,120,57,63,0,0,0
35,210,3,Varavani,1970,1012,958,541,276,265,0,0,0
1,211,4,Alangulam,1395,705,690,867,435,432,0,0,0
2,211,4,Chinnandivalasai,1798,897,901,0,0,0,0,0,0
3,211,4,Ekkakudi,2629,1360,1269,610,302,308,0,0,0
4,211,4,Kalari,1443,720,723,1227,610,617,0,0,0
5,211,4,Kalimankundu,2502,1256,1246,16,6,10,0,0,0
6,211,4,Kanjirangudi,7465,3791,3674,1071,539,532,1,1,0
7,211,4,Komboothi,886,452,434,43,25,18,0,0,0
8,211,4,Kooraikootam,268,104,164,9,5,4,0,0,0
9,211,4,Kudakottai,2186,1099,1087,313,154,159,0,0,0
10,211,4,Kulapatham,1909,957,952,658,321,337,0,0,0
11,211,4,Landai,2419,1235,1184,2112,1066,1046,0,0,0
12,211,4,Mallal,3118,1545,1573,2072,1013,1059,0,0,0
13,211,4,Mayakulam,7118,3968,3150,1169,591,578,0,0,0
14,211,4,Melamadai,1625,859,766,1311,692,619,0,0,0
15,211,4,Muthupettai,1550,689,861,1,1,0,0,0,0
16,211,4,Nainamarakkam,2033,1020,1013,84,46,38,0,0,0
17,211,4,Nalirukkai,1216,594,622,440,222,218,0,0,0
18,211,4,Methalodai,1149,556,593,0,0,0,0,0,0
19,211,4,Panaikulam,773,378,395,370,181,189,0,0,0
20,211,4,Panayadiyendal,1257,629,628,1178,592,586,0,0,0
21,211,4,Pathiratharavai,1182,595,587,78,42,36,0,0,0
22,211,4,Periapattinam,9730,5099,4631,338,195,143,0,0,0
23,211,4,Raghunathapuram,5710,2942,2768,100,49,51,0,0,0
24,211,4,Sethukarai,1509,788,721,295,147,148,0,0,0
25,211,4,Thillaiyenthal,7471,4033,3438,2816,1404,1412,0,0,0
26,211,4,Thathanendal,2092,1027,1065,1442,698,744,0,0,0
27,211,4,Thinaikulam,2057,1022,1035,78,40,38,0,0,0
28,211,4,Tiruppullani,1998,1002,996,378,187,191,0,0,0
29,211,4,Utharavai,1098,515,583,25,14,11,0,0,0
30,211,4,Utrakosamangai,2134,1123,1011,261,140,121,0,0,0
31,211,4,Valanoor,1276,655,621,724,362,362,0,0,0
