PanchayatId,AssemblyId,BlockId,Name,Population,Male,Female,SC,Scmale,ScFemale,ST,Stmale,StFemale
1,210,1,Alagankulam ,8009,3936,4073,205,94,111,0,0,0
2,211,1,Attangarai ,2549,1289,1260,54,28,26,0,0,0
3,211,1,Enmanamkondan ,7184,3625,3559,348,178,170,1,0,1
4,211,1,Irumeni ,2568,1336,1232,32,21,11,0,0,0
5,210,1,Karan ,2320,1173,1147,0,0,0,2,1,1
6,211,1,Keelanagachi ,3678,1853,1825,26,13,13,0,0,0
7,211,1,Koravalli ,829,359,470,0,0,0,0,0,0
8,211,1,Kumbaram ,2114,1082,1032,0,0,0,0,0,0
9,211,1,Kusavankudi ,1762,871,891,758,365,393,0,0,0
10,211,1,Manankudi ,1512,752,760,58,28,30,0,0,0
11,211,1,Marakayarpattinam ,1180,605,575,73,38,35,6,3,3
12,211,1,Nochiyurani ,931,471,460,0,0,0,0,0,0
13,211,1,Pamban ,17172,9012,8700,118,63,55,,,
14,210,1,Panaikulam ,7464,3549,3915,303,143,160,3,1,2
15,210,1,Pattinam Kattan ,17601,8984,8617,1395,723,672,4,2,2
16,211,1,Perungulam ,2957,1402,1555,25,11,14,,,
17,211,1,Pirappanvalasai ,1838,912,926,,,,,,
18,211,1,Pudumadam ,8760,4454,4306,85,47,38,,,
19,210,1,Puduvalasai ,3491,1805,1686,4,2,2,,,
20,211,1,Rettaiyurani ,3399,1777,1622,7,4,3,,,
21,211,1,Sambadaiyarkulam ,1449,730,719,1,1,,,,
22,211,1,Sattakkonvalasai ,2623,1295,1328,51,26,25,,,
23,211,1,Tamaraikulam ,1681,830,851,192,96,96,,,
24,210,1,Terbhogi ,2718,1339,1379,141,62,79,,,
25,211,1,Thangachimadam ,20107,10151,9956,385,160,225,3,1,2
26,211,1,Valantaravai ,8445,4230,4215,1363,676,687,,,
27,211,1,Vallarioodai ,1100,558,542,16,8,8,,,
28,211,1,Vedalai ,6371,3270,3101,10,6,4,15,4,11
29,210,2,Achchundanvayal ,2945,1476,1469,1301,633,668,,,
30,210,2,Athyuthu ,2717,1390,1327,219,110,109,,,
31,210,2,Chitoor ,1660,871,789,1202,630,572,,,
32,210,2,Chittrakkottai ,8574,4100,4474,900,444,456,,,
33,210,2,Devipattinam ,11599,5897,5702,1506,773,733,9,4,5
34,210,2,Ilamanoor ,1196,611,585,450,235,215,,,
35,210,2,Kalanikudi ,1091,518,573,441,207,234,,,
36,210,2,Karendal ,1313,675,638,438,220,218,,,
37,210,2,Karukudi ,843,438,405,141,73,68,,,
38,210,2,Kavanur ,2064,1019,1045,741,369,372,,,
39,210,2,Madavanur ,1695,872,823,553,285,268,,,
40,210,2,Medakottan ,2323,1184,1139,2,2,,,,
41,210,2,Naranamangalam ,1764,895,869,505,249,256,,,
42,210,2,Pandamangalam ,918,466,452,229,113,116,,,
43,210,2,Paravoor ,4699,2384,2315,1917,978,939,33,15,18
44,210,2,Peruvayal ,1410,699,711,1155,564,591,,,
45,210,2,Pullangudi ,1519,792,727,706,378,328,,,
46,210,2,Puthendal ,2199,1094,1105,835,427,408,,,
47,210,2,Rajasuriamadai ,5200,2682,2518,985,511,474,,,
48,210,2,Sakkarakottai ,15355,7632,7723,2859,1321,1538,12,5,7
49,210,2,Surankottai ,5873,3003,2870,2633,1330,1303,133,68,65
50,210,2,Therkuthalavai ,4968,2407,2291,971,485,486,,,
51,210,2,Thiruvolhiyakalugoorani ,1614,811,803,271,136,135,,,
52,210,2,Toruvalur ,2616,1304,1312,1616,795,821,,,
53,210,2,Vennathur ,2826,1435,1391,469,229,240,,,
,,3,A.Manakudi ,,,,,,,,,
,,3,Alagarthevankottai ,,,,,,,,,
,,3,Anandur ,,,,,,,,,
,,3,Arunuthimangalam ,,,,,,,,,
,,3,Ayangudi ,,,,,,,,,
,,3,Chitturuvadi ,,,,,,,,,
,,3,Govindamangalam ,,,,,,,,,
,,3,Gudalur ,,,,,,,,,
,,3,Janaveli ,,,,,,,,,
,,3,Kadalur ,,,,,,,,,
,,3,Kallikudi ,,,,,,,,,
,,3,Karkathakudi ,,,,,,,,,
,,3,Karungudi ,,,,,,,,,
,,3,Kavanakottai ,,,,,,,,,
,,3,Kavanoor ,,,,,,,,,
,,3,Kothidal Kalakudi ,,,,,,,,,
,,3,Kottagudi ,,,,,,,,,
,,3,Melapanaiyur ,,,,,,,,,
,,3,Odaikkal ,,,,,,,,,
,,3,Paranur ,,,,,,,,,
,,3,Pitchanakurichi ,,,,,,,,,
,,3,Pullamadai ,,,,,,,,,
,,3,Radhanur ,,,,,,,,,
,,3,Sattanur ,,,,,,,,,
,,3,Sengudi ,,,,,,,,,
,,3,Sethidal ,,,,,,,,,
,,3,Sevaipattai ,,,,,,,,,
,,3,Sholandur ,,,,,,,,,
,,3,Sirunagudi ,,,,,,,,,
,,3,Thirutheravalai ,,,,,,,,,
,,3,Thumbadakkakottai ,,,,,,,,,
,,3,Tiruppalaikkudi ,,,,,,,,,
,,3,Uranagudi ,,,,,,,,,
,,3,Vadakalur ,,,,,,,,,
,,3,Varavani ,,,,,,,,,
,,4,Alangulam ,,,,,,,,,
,,4,Chinnandivalasai ,,,,,,,,,
,,4,Ekkakudi ,,,,,,,,,
,,4,Kalari ,,,,,,,,,
,,4,Kalimankundu ,,,,,,,,,
,,4,Kanjirangudi ,,,,,,,,,
,,4,Komboothi ,,,,,,,,,
,,4,Kooraikootam ,,,,,,,,,
,,4,Kudakottai ,,,,,,,,,
,,4,Kulapatham ,,,,,,,,,
,,4,Landai ,,,,,,,,,
,,4,Mallal ,,,,,,,,,
,,4,Mayakulam ,,,,,,,,,
,,4,Melamadai ,,,,,,,,,
,,4,Muthupettai ,,,,,,,,,
,,4,Nainamarakkam ,,,,,,,,,
,,4,Nalirukkai ,,,,,,,,,
,,4,Methalodai ,,,,,,,,,
,,4,Panaikulam ,,,,,,,,,
,,4,Panayadiyendal ,,,,,,,,,
,,4,Pathiratharavai ,,,,,,,,,
,,4,Periapattinam ,,,,,,,,,
,,4,Raghunathapuram ,,,,,,,,,
,,4,Sethukarai ,,,,,,,,,
,,4,Thillaiyenthal ,,,,,,,,,
,,4,Thathanendal ,,,,,,,,,
,,4,Thinaikulam ,,,,,,,,,
,,4,Tiruppullani ,,,,,,,,,
,,4,Utharavai ,,,,,,,,,
,,4,Utrakosamangai ,,,,,,,,,
,,4,Valanoor ,,,,,,,,,
,,4,Vannankundu ,,,,,,,,,
,,4,Vellamarichukkatti ,,,,,,,,,
,,5,Achankudi ,,,,,,,,,
,,5,Andavorani ,,,,,,,,,
,,5,Anjukottai ,,,,,,,,,
,,5,Arasathur ,,,,,,,,,
,,5,Arumbur ,,,,,,,,,
,,5,Athiyur ,,,,,,,,,
,,5,Kadambur ,,,,,,,,,
,,5,Kaliyanagari ,,,,,,,,,
,,5,Kallur ,,,,,,,,,
,,5,Karankadu ,,,,,,,,,
,,5,Karumozhi Sananvayal ,,,,,,,,,
,,5,Kattavilagam ,,,,,,,,,
,,5,Kattivayal ,,,,,,,,,
,,5,Kodanur ,,,,,,,,,
,,5,Kodipangu ,,,,,,,,,
,,5,Kookudi ,,,,,,,,,
,,5,Kulathur ,,,,,,,,,
,,5,Kunjankulam ,,,,,,,,,
,,5,Mangalagudi ,,,,,,,,,
,,5,Mugilthagam ,,,,,,,,,
,,5,Mullimunai ,,,,,,,,,
,,5,Nagrikathan ,,,,,,,,,
,,5,Nambuthalai ,,,,,,,,,
,,5,Neyvayal ,,,,,,,,,
,,5,Nilamalagiyamangalam ,,,,,,,,,
,,5,Orikottai ,,,,,,,,,
,,5,Orur ,,,,,,,,,
,,5,Paganur ,,,,,,,,,
,,5,Palangulam ,,,,,,,,,
,,5,Panachayal ,,,,,,,,,
,,5,Pandugudi ,,,,,,,,,
,,5,Pathanagudi ,,,,,,,,,
,,5,Periakeeramangalam ,,,,,,,,,
,,5,Pudupattinam ,,,,,,,,,
,,5,Pullakadamban ,,,,,,,,,
,,5,Sirugambaiyur ,,,,,,,,,
,,5,Sirumalaikkottai ,,,,,,,,,
