BlockId,DistrictId,Name,Ondrium,Population,Male,Female,SC,Scmale,ScFemale,ST,Stmale,StFemale
1,181,Mandabam,28,142352,71650,70702,5650,2793,2857,34,12,22
2,181,Ramanathapuram,25,88711,44655,44056,23045,11497,11548,187,92,95
3,181,R.S. Mangalam,35,70780,34979,35801,18099,8902,9197,28,10,18
4,181,Thirupullani,33,87766,45017,42749,21367,10697,10670,1,1,
5,181,Thiruvadanai,47,108219,54503,53716,18307,9244,9063,184,86,98
6,182,Bogalur,26,41984,21296,20688,17100,8655,8445,12,1,
7,182,Kadaladi,60,146566,73772,72794,21103,10574,10529,0,9,3
8,182,Kamuthi,53,113144,57234,55910,26234,13132,13102,5,,
9,182,Mudukulathur,46,82169,40931,41238,24971,12484,12489,2,4,1
10,182,Nainarkoil,37,46359,23024,23335,10368,5212,5156,72,1,1
11,182,Paramakudi,39,81220,41193,40027,27339,13853,13486,,39,33
