PanchayatId,AssemblyId,BlockId,Name,Population,Male,Female,SC,Scmale,ScFemale,ST,Stmale,StFemale
1,210,1,Alagankulam,"8,009","3,936","4,073",205,94,111,-,-,-
2,211,1,Attangarai,"2,549","1,289","1,260",54,28,26,-,-,-
3,211,1,Enmanamkondan,"7,184","3,625","3,559",348,178,170,1,-,1
4,211,1,Irumeni,"2,568","1,336","1,232",32,21,11,-,-,-
5,210,1,Karan,"2,320","1,173","1,147",-,-,-,2,1,1
6,211,1,Keelanagachi,"3,678","1,853","1,825",26,13,13,-,-,-
7,211,1,Koravalli,829,359,470,-,-,-,-,-,-
8,211,1,Kumbaram,"2,114","1,082","1,032",-,-,-,-,-,-
9,211,1,Kusavankudi,"1,762",871,891,758,365,393,-,-,-
10,211,1,Manankudi,"1,512",752,760,58,28,30,-,-,-
11,211,1,Marakayarpattinam,"1,180",605,575,73,38,35,6,3,3
12,211,1,Nochiyurani,931,471,460,-,-,-,-,-,-
13,211,1,Pamban,"17,712","9,012","8,700",118,63,55,-,-,-
14,210,1,Panaikulam,"7,464","3,549","3,915",303,143,160,3,1,2
15,210,1,Pattinam Kattan,"17,601","8,984","8,617","1,395",723,672,4,2,2
16,211,1,Perungulam,"2,957","1,402","1,555",25,11,14,-,-,-
17,211,1,Pirappanvalasai,"1,838",912,926,-,-,-,-,-,-
18,211,1,Pudumadam,"8,760","4,454","4,306",85,47,38,-,-,-
19,210,1,Puduvalasai,"3,491","1,805","1,686",4,2,2,-,-,-
20,211,1,Rettaiyurani,"3,399","1,777","1,622",7,4,3,-,-,-
21,211,1,Sambadaiyarkulam,"1,449",730,719,1,1,-,-,-,-
22,211,1,Sattakkonvalasai,"2,623","1,295","1,328",51,26,25,-,-,-
23,211,1,Tamaraikulam,"1,681",830,851,192,96,96,-,-,-
24,210,1,Terbhogi,"2,718","1,339","1,379",141,62,79,-,-,-
25,211,1,Thangachimadam,"20,107","10,151","9,956",385,160,225,3,1,2
26,211,1,Valantaravai,"8,445","4,230","4,215","1,363",676,687,-,-,-
27,211,1,Vallarioodai,"1,100",558,542,16,8,8,-,-,-
28,211,1,Vedalai,"6,371","3,270","3,101",10,6,4,15,4,11
1,210,2,Achchundanvayal,"2,945","1,476","1,469","1,301",633,668,-,-,-
2,210,2,Athyuthu,"2,717","1,390","1,327",219,110,109,-,-,-
3,210,2,Chitoor,"1,660",871,789,"1,202",630,572,-,-,-
4,210,2,Chittrakkottai,"8,574","4,100","4,474",900,444,456,-,-,-
5,210,2,Devipattinam,"11,599","5,897","5,702","1,506",773,733,9,4,5
6,210,2,Ilamanoor,"1,196",611,585,450,235,215,-,-,-
7,210,2,Kalanikudi,"1,091",518,573,441,207,234,-,-,-
8,210,2,Karendal,"1,313",675,638,438,220,218,-,-,-
9,210,2,Karukudi,843,438,405,141,73,68,-,-,-
10,210,2,Kavanur,"2,064","1,019","1,045",741,369,372,-,-,-
11,210,2,Madavanur,"1,695",872,823,553,285,268,-,-,-
12,210,2,Medakottan,"2,323","1,184","1,139",2,2,-,-,-,-
13,210,2,Naranamangalam,"1,764",895,869,505,249,256,-,-,-
14,210,2,Pandamangalam,918,466,452,229,113,116,-,-,-
15,210,2,Paravoor,"4,699","2,384","2,315","1,917",978,939,33,15,18
16,210,2,Peruvayal,"1,410",699,711,"1,155",564,591,-,-,-
17,210,2,Pullangudi,"1,519",792,727,706,378,328,-,-,-
18,210,2,Puthendal,"2,199","1,094","1,105",835,427,408,-,-,-
19,210,2,Rajasuriamadai,"5,200","2,682","2,518",985,511,474,-,-,-
20,210,2,Sakkarakottai,"15,355","7,632","7,723","2,859","1,321","1,538",12,5,7
21,210,2,Surankottai,"5,873","3,003","2,870","2,633","1,330","1,303",133,68,65
22,210,2,Therkuthalavai,"4,698","2,407","2,291",971,485,486,-,-,-
23,210,2,Thiruvolhiyakalugoorani,"1,614",811,803,271,136,135,-,-,-
24,210,2,Toruvalur,"2,616","1,304","1,312","1,616",795,821,-,-,-
25,210,2,Vennathur,"2,826","1,435","1,391",469,229,240,-,-,-
1,,3,A.Manakudi,"1,604",762,842,328,163,165,-,-,-
2,,3,Alagarthevankottai,"1,854",921,933,484,233,251,-,-,-
3,,3,Anandur,"2,773","1,375","1,398",429,215,214,20,7,13
4,,3,Arunuthimangalam,"2,265","1,163","1,102",438,229,209,-,-,-
